3;16/11/2019;17/11/2019
3;18/11/2019;21/11/2019
3;26/11/2019;26/11/2019
3;26/11/2019;26/11/2019
13;26/11/2019;26/11/2019
2;26/11/2019;26/11/2019
13;26/11/2019;26/11/2019
2;26/11/2019;26/11/2019
17;26/11/2019;05/12/2019
3;26/11/2019;26/11/2019
4;26/11/2019;26/11/2019
4;26/11/2019;26/11/2019
4;26/11/2019;26/11/2019
1;26/11/2019;26/11/2019
11;26/11/2019;26/11/2019
11;26/11/2019;26/11/2019
6;26/11/2019;26/11/2019
14;26/11/2019;26/11/2019
9;26/11/2019;26/11/2019
9;26/11/2019;26/11/2019
10;27/11/2019;27/11/2019
10;29/11/2019;29/11/2019
10;29/11/2019;29/11/2019
10;01/12/2019;01/12/2019
6;01/12/2019;01/12/2019
3;01/12/2019;01/12/2019
9;04/12/2019;04/12/2019
9;04/12/2019;04/12/2019
6;04/12/2019;04/12/2019
10;04/12/2019;04/12/2019
1;04/12/2019;04/12/2019
16;04/12/2019;04/12/2019
21;04/12/2019;--
3;04/12/2019;04/12/2019
6;04/12/2019;04/12/2019
1;05/12/2019;05/12/2019
2;05/12/2019;05/12/2019
9;05/12/2019;05/12/2019
4;05/12/2019;05/12/2019
4;05/12/2019;06/12/2019
11;05/12/2019;08/12/2019
1;05/12/2019;07/12/2019
9;06/12/2019;06/12/2019
2;08/12/2019;08/12/2019
3;08/12/2019;08/12/2019
4;09/12/2019;09/12/2019
3;09/12/2019;--
15;11/12/2019;--
1;07/10/2023;07/10/2023
